scene,arm,accuracy,dt_s,dt_outer_s,n_worlds,t_s,wall_ms,iters,exhausted_frac
hard-clutter,icf,,0.001,0.1,1,3.9000000000000004,85.35955916158855,100,0.0
hard-clutter,icf,,0.001,0.1,1,4.0,85.10741801001132,100,0.0
hard-clutter,icf,,0.001,0.1,1,4.1000000000000005,84.51554295606911,100,0.0
hard-clutter,icf,,0.001,0.1,1,4.2,87.87246700376272,100,0.0
hard-clutter,icf,,0.001,0.1,1,4.3,86.53136994689703,100,0.0
hard-clutter,icf,,0.001,0.1,1,4.4,88.94663001410663,100,0.0
hard-clutter,icf,,0.001,0.1,1,4.5,88.05135800503194,100,0.0
hard-clutter,icf,,0.001,0.1,1,4.6000000000000005,89.91646603681147,100,0.0
hard-clutter,icf,,0.001,0.1,1,4.7,87.76699798181653,100,0.0
hard-clutter,icf,,0.001,0.1,1,4.800000000000001,91.44088090397418,100,0.0
hard-clutter,icf,,0.001,0.1,1,4.9,88.92724080942571,100,0.0
hard-clutter,icf-adaptive,0.01,,0.1,1,0.2,239.7424450609833,58,0.0
hard-clutter,icf-adaptive,0.01,,0.1,1,0.30000000000000004,177.52631707116961,40,0.0
hard-clutter,icf-adaptive,0.01,,0.1,1,0.4,99.6631789021194,29,0.0
hard-clutter,icf-adaptive,0.01,,0.1,1,0.5,102.09492384456098,27,0.0
hard-clutter,icf-adaptive,0.01,,0.1,1,0.6000000000000001,45.49704794771969,13,0.0
hard-clutter,icf-adaptive,0.01,,0.1,1,0.7000000000000001,56.66052084416151,13,0.0
hard-clutter,icf-adaptive,0.01,,0.1,1,0.8,69.76132304407656,14,0.0
hard-clutter,icf-adaptive,0.01,,0.1,1,0.9,52.38887411542237,10,0.0
hard-clutter,icf-adaptive,0.01,,0.1,1,1.0,12.74620508775115,3,0.0
hard-clutter,icf-adaptive,0.01,,0.1,1,1.1,15.36014606244862,3,0.0
hard-clutter,icf-adaptive,0.01,,0.1,1,1.2000000000000002,51.7232280690223,13,0.0
hard-clutter,icf-adaptive,0.01,,0.1,1,1.3,12.616890016943216,3,0.0
hard-clutter,icf-adaptive,0.01,,0.1,1,1.4000000000000001,11.660513933748007,3,0.0
hard-clutter,icf-adaptive,0.01,,0.1,1,1.5,13.339611934497952,3,0.0
hard-clutter,icf-adaptive,0.01,,0.1,1,1.6,8.292083162814379,2,0.0
hard-clutter,icf-adaptive,0.01,,0.1,1,1.7000000000000002,4.768517101183534,1,0.0
hard-clutter,icf-adaptive,0.01,,0.1,1,1.8,4.4755039270967245,1,0.0
hard-clutter,icf-adaptive,0.01,,0.1,1,1.9000000000000001,4.7761190216988325,1,0.0
hard-clutter,icf-adaptive,0.01,,0.1,1,2.0,3.6759860813617706,1,0.0
hard-clutter,icf-adaptive,0.01,,0.1,1,2.1,6.385351996868849,1,0.0
hard-clutter,icf-adaptive,0.01,,0.1,1,2.2,5.329085048288107,1,0.0
hard-clutter,icf-adaptive,0.01,,0.1,1,2.3000000000000003,3.9073361549526453,1,0.0
hard-clutter,icf-adaptive,0.01,,0.1,1,2.4000000000000004,10.330814868211746,3,0.0
