arm,dt_s,accuracy,kp,kd,k,slide_speed,n_worlds,unstable,wall_s_per_sim_s,exhausted_frac,pen_box_mean_over_static,pen_box_max_m,pen_tip_mean_over_static,pen_tip_max_m,chatter_vz_rms_m_s,box_lift_max_m,box_pitch_rate_rms,tip_over_box_frac,rel_vx_rms_m_s,track_rms_m,box_displacement_m,box_displacement_commanded_m
icf,0.01,,1000000.0,632.4555320336759,100000.0,0.3,1,False,0.057506658907594356,0.0,0.9982327222824097,2.502650022506714e-05,0.6383304595947266,0.00022872164845466614,1.0886142263188958e-05,-2.3234635591506958e-05,0.00290291546843946,0.0,6.44121200821246e-07,0.00017616580589674413,0.2799866199493408,0.27999999999999997
icf,0.005,,1000000.0,632.4555320336759,100000.0,0.3,1,False,0.08119128556151328,0.0,0.9985543489456177,2.6501715183258057e-05,0.19400711357593536,4.495680332183838e-05,4.437621828401461e-05,-2.2813677787780762e-05,0.0011456571519374847,0.0,0.20407649874687195,2.8093547825847054e-06,0.27998682856559753,0.27999999999999997
icf,0.002,,1000000.0,632.4555320336759,100000.0,0.3,1,False,0.13144771520305296,0.0,0.9980263710021973,2.9139220714569092e-05,0.22057008743286133,5.708634853363037e-05,4.7448625991819426e-05,-2.438575029373169e-05,0.001794534269720316,0.0,0.29868024587631226,7.89659043221036e-06,0.27998462319374084,0.27999999999999997
icf,0.001,,1000000.0,632.4555320336759,100000.0,0.3,1,False,0.2053742562741812,0.0,0.9914827346801758,2.506747841835022e-05,0.1601598560810089,3.807246685028076e-05,0.0001612403430044651,-2.068653702735901e-05,0.013402819633483887,0.0,0.35775768756866455,4.132817139179679e-06,0.2799887955188751,0.27999999999999997
icf-adaptive,,0.1,1000000.0,632.4555320336759,100000.0,0.3,1,False,0.10717839452213254,0.0,0.9981787800788879,2.5626271963119507e-05,0.18081139028072357,4.1112303733825684e-05,3.9721111534163356e-05,-2.259388566017151e-05,0.0012851918581873178,0.0,0.2040766030550003,2.7646965463645756e-06,0.2799875736236572,0.27999999999999997
icf-adaptive,,0.01,1000000.0,632.4555320336759,100000.0,0.3,1,False,0.11237735755677368,0.0,0.9981876611709595,2.5626271963119507e-05,0.18059350550174713,4.1112303733825684e-05,3.9737886254442856e-05,-2.259761095046997e-05,0.0012850019847974181,0.0,0.20407705008983612,2.764427335932851e-06,0.2799876034259796,0.27999999999999997
icf-adaptive,,0.001,1000000.0,632.4555320336759,100000.0,0.3,1,False,0.12859060035633116,0.0,1.0003739595413208,2.5626271963119507e-05,0.001864412915892899,2.6520341634750366e-05,3.166233000229113e-05,-2.4478882551193237e-05,0.0016350221121683717,0.0,0.264988511800766,1.1990071470791008e-05,0.2804035246372223,0.27999999999999997
icf-adaptive,,0.0001,1000000.0,632.4555320336759,100000.0,0.3,1,False,0.2849905631215922,0.0,0.9962261319160461,2.5626271963119507e-05,0.1525607854127884,3.4108757972717285e-05,6.424033199436963e-05,-2.1684914827346802e-05,0.011369544081389904,0.0,0.29401296377182007,4.361552782938816e-06,0.279989093542099,0.27999999999999997
mujoco,0.01,,1000000.0,632.4555320336759,100000.0,0.3,1,True,0.08082912343650543,0.0,34.28634262084961,0.0009809993207454681,0.0,0.0,,,,,,,7.966700216188727e-11,0.27999999999999997
mujoco,0.005,,1000000.0,632.4555320336759,100000.0,0.3,1,True,0.08197233377923739,0.0,7.546276092529297,0.0001850724220275879,0.0,0.0,,,,,,,-7.78534441775447e-12,0.27999999999999997
mujoco,0.002,,1000000.0,632.4555320336759,100000.0,0.3,1,True,0.08651790931692412,0.0,0.6434385180473328,1.5780329704284668e-05,0.0,0.0,,,,,,,-7.926034503204227e-13,0.27999999999999997
mujoco,0.001,,1000000.0,632.4555320336759,100000.0,0.3,1,False,0.2829794834592733,0.0,0.03760462626814842,1.634657382965088e-05,0.0,0.0,0.23189902305603027,0.056676361709833145,3.682852029800415,0.0,0.5761595964431763,2.309691444679629e-05,0.4738364815711975,0.27999999999999997
mujoco-adaptive,,0.1,1000000.0,632.4555320336759,100000.0,0.3,1,True,0.07895918619208808,0.0,0.1919986605644226,4.708766937255859e-06,0.0,0.0,,,,,,,-8.865991166055742e-13,0.27999999999999997
mujoco-adaptive,,0.01,1000000.0,632.4555320336759,100000.0,0.3,1,False,0.30349950860093894,0.0,0.1468258649110794,4.1097402572631836e-05,0.0,0.0,0.253614217042923,0.05833948776125908,8.023740768432617,0.0,0.7074708342552185,0.000489982427097857,0.3328024744987488,0.27999999999999997
mujoco-adaptive,,0.001,1000000.0,632.4555320336759,100000.0,0.3,1,False,0.35273784619017406,0.0,0.22930368781089783,0.0002539902925491333,0.0,0.0,0.13056933879852295,0.020701464265584946,4.397787094116211,0.0,0.5135710835456848,7.778030703775585e-05,0.3758971393108368,0.27999999999999997
mujoco-adaptive,,0.0001,1000000.0,632.4555320336759,100000.0,0.3,1,False,0.5246662607031136,0.0,0.13327030837535858,2.008676528930664e-05,0.007686021737754345,0.00010932981967926025,0.09572282433509827,0.010471556335687637,1.9362640380859375,0.0,0.391066312789917,2.100551500916481e-05,0.28080421686172485,0.27999999999999997
