arm,dt_s,accuracy,kp,kd,k,slide_speed,n_worlds,unstable,wall_s_per_sim_s,exhausted_frac,pen_box_mean_over_static,pen_box_max_m,pen_tip_mean_over_static,pen_tip_max_m,chatter_vz_rms_m_s,box_lift_max_m,box_pitch_rate_rms,tip_over_box_frac,rel_vx_rms_m_s,track_rms_m,box_displacement_m,box_displacement_commanded_m
mujoco,0.005,,1000.0,20.0,100000.0,0.3,1,False,0.12383299213352389,0.0,1.0697665214538574,0.0006351061165332794,2.339975118637085,0.00171004980802536,0.10419096797704697,0.00499802827835083,1.129761815071106,0.0,0.08208990097045898,0.012671105563640594,0.27641573548316956,0.27999999999999997
mujoco,0.002,,1000.0,20.0,100000.0,0.3,1,False,0.1887920734087198,0.0,0.12951476871967316,7.852166891098022e-05,0.46202781796455383,0.0006445944309234619,0.09243665635585785,0.0038739442825317383,1.0470889806747437,0.0,0.041965387761592865,0.013151068240404129,0.2772100865840912,0.27999999999999997
mujoco,0.001,,1000.0,20.0,100000.0,0.3,1,False,0.2856710465657043,0.0,0.04576624184846878,2.4616718292236328e-05,0.07312498241662979,0.00013269484043121338,0.07925485819578171,0.002837076783180237,0.8535889387130737,0.0,0.0054342495277523994,0.01365052629262209,0.27925944328308105,0.27999999999999997
mujoco-adaptive,,0.1,1000.0,20.0,100000.0,0.3,1,False,0.1532814441377233,0.0,1.0089038610458374,0.0006350986659526825,2.3398826122283936,0.001710064709186554,0.10419106483459473,0.0049980320036411285,1.129764199256897,0.0,0.08208983391523361,0.012671089731156826,0.2764158546924591,0.27999999999999997
mujoco-adaptive,,0.01,1000.0,20.0,100000.0,0.3,1,False,0.15580967446018396,0.0,1.0373421907424927,0.000729978084564209,1.8752853870391846,0.001619689166545868,0.10420788079500198,0.0049980320036411285,1.0297908782958984,0.0,0.05006092041730881,0.012893530540168285,0.2768697440624237,0.27999999999999997
mujoco-adaptive,,0.001,1000.0,20.0,100000.0,0.3,1,False,0.18547539695583543,0.0,0.8790323138237,0.00047443807125091553,0.7114385366439819,0.00048185884952545166,0.09077534079551697,0.003434024751186371,1.0602141618728638,0.0,0.022161364555358887,0.014186305925250053,0.2764584422111511,0.27999999999999997
mujoco-adaptive,,0.0001,1000.0,20.0,100000.0,0.3,1,False,0.25358529070970315,0.0,0.7060518264770508,0.00011589005589485168,0.30005642771720886,8.779391646385193e-05,0.07437754422426224,0.0027396678924560547,0.9422335624694824,0.0,0.007157548330724239,0.014344947412610054,0.2763758599758148,0.27999999999999997
icf,0.01,,10000.0,63.245553203367585,100000.0,0.3,1,False,0.05666817514354299,0.0,0.9988167881965637,2.5037676095962524e-05,0.6750678420066833,0.00016568228602409363,3.3437568163208198e-06,-2.429261803627014e-05,0.003049073740839958,0.0,1.2286178389331326e-05,0.0022947113029658794,0.27969837188720703,0.27999999999999997
icf,0.005,,10000.0,63.245553203367585,100000.0,0.3,1,False,0.07517505790395984,0.0,0.9987512826919556,2.6538968086242676e-05,0.5259153246879578,0.0001678764820098877,6.351981483021518e-06,-2.4296343326568604e-05,0.001346623175777495,0.0,0.008327209390699863,0.001660008798353374,0.27970466017723083,0.27999999999999997
icf,0.002,,10000.0,63.245553203367585,100000.0,0.3,1,False,0.12413583270370447,0.0,0.9965864419937134,2.544000744819641e-05,0.4243650436401367,0.00014343485236167908,0.00010268700862070546,-2.2571533918380737e-05,0.02433491125702858,0.0,0.020225899294018745,0.0012673026649281383,0.2796769142150879,0.27999999999999997
icf,0.001,,10000.0,63.245553203367585,100000.0,0.3,1,False,0.19019202273017888,0.0,0.9975382089614868,2.5074928998947144e-05,0.4079333543777466,0.0002037622034549713,0.00011881004320457578,-2.4080276489257812e-05,0.014008083380758762,0.0,0.02928704395890236,0.0011378128547221422,0.2796277701854706,0.27999999999999997
icf-adaptive,,0.1,10000.0,63.245553203367585,100000.0,0.3,1,False,0.1056574827766624,0.0,0.9985930919647217,2.5622546672821045e-05,0.5258735418319702,0.00016790255904197693,6.3412539930141065e-06,-2.4285167455673218e-05,0.0012799488613381982,0.0,0.00834167655557394,0.0016600200906395912,0.2797042727470398,0.27999999999999997
icf-adaptive,,0.01,10000.0,63.245553203367585,100000.0,0.3,1,False,0.10748066208807046,0.0,0.9986030459403992,2.5622546672821045e-05,0.5259262919425964,0.00016789138317108154,6.345791007333901e-06,-2.4285167455673218e-05,0.0012805562000721693,0.0,0.008341559208929539,0.001660021604038775,0.2797042429447174,0.27999999999999997
icf-adaptive,,0.001,10000.0,63.245553203367585,100000.0,0.3,1,False,0.10773873133263712,0.0,0.9985957145690918,2.5622546672821045e-05,0.5259326100349426,0.00016789138317108154,6.336362730507972e-06,-2.4285167455673218e-05,0.0012796431547030807,0.0,0.008341485634446144,0.001660025562159717,0.2797042429447174,0.27999999999999997
icf-adaptive,,0.0001,10000.0,63.245553203367585,100000.0,0.3,1,False,0.13298451482992749,0.0,1.0070244073867798,3.4887343645095825e-05,0.4760643243789673,0.00018513575196266174,0.00022802450985182077,-2.4091452360153198e-05,0.012980831786990166,0.0,0.016760237514972687,0.00136425974778831,0.2796815037727356,0.27999999999999997
mujoco,0.01,,10000.0,63.245553203367585,100000.0,0.3,1,False,0.10601538137115281,0.0,8.14917278289795,0.003213129937648773,7.812429904937744,0.003476649522781372,0.142783060669899,0.009092148393392563,3.4312164783477783,0.0,0.140741229057312,0.0013905123341828585,0.2799777686595917,0.27999999999999997
mujoco,0.005,,10000.0,63.245553203367585,100000.0,0.3,1,False,0.12536819381960507,0.0,1.3906744718551636,0.0008917935192584991,2.3608334064483643,0.0015767812728881836,0.10379576683044434,0.004018772393465042,1.9877936840057373,0.0,0.08548401296138763,0.0010085317771881819,0.27995747327804565,0.27999999999999997
mujoco,0.002,,10000.0,63.245553203367585,100000.0,0.3,1,False,0.18947128929069332,0.0,0.10586272925138474,0.00011055171489715576,0.3092867136001587,0.0003554895520210266,0.08319388329982758,0.002802327275276184,1.2066024541854858,0.0,0.05999905243515968,0.0012089865049347281,0.2796629071235657,0.27999999999999997
