boundary,iters,cum_iters,ideal_min,ideal_mean,ideal_max,resid_min,resid_max,rejects,err_max,n_debt,n_subfloor,n_guard
84,13,798,8.647330e-06,5.862225e-03,1.173825e-02,0.000000e+00,0.000000e+00,168,6.809533e-04,0,0,0
85,12,810,3.381213e-04,5.692936e-03,1.317520e-02,0.000000e+00,0.000000e+00,185,7.350743e-05,0,0,0
86,15,825,1.544785e-04,5.704806e-03,1.556954e-02,0.000000e+00,0.000000e+00,177,1.481967e-05,0,0,0
87,13,838,3.177673e-05,5.549924e-03,1.319689e-02,0.000000e+00,0.000000e+00,195,6.107837e-04,0,0,0
88,15,853,5.481765e-05,5.617267e-03,1.279415e-02,0.000000e+00,0.000000e+00,174,1.807511e-04,0,0,0
89,23,876,8.243602e-05,5.402302e-03,1.089040e-02,0.000000e+00,0.000000e+00,202,3.054738e-06,0,0,0
90,14,890,7.485505e-05,5.443456e-03,1.398331e-02,0.000000e+00,0.000000e+00,186,8.002669e-05,0,0,0
91,14,904,5.308539e-07,5.312907e-03,1.708425e-02,0.000000e+00,0.000000e+00,201,2.133027e-04,0,1,0
92,14,918,1.041545e-04,5.554955e-03,1.200903e-02,0.000000e+00,0.000000e+00,153,9.942055e-05,0,0,0
93,13,931,1.025992e-04,5.358789e-03,1.562609e-02,0.000000e+00,0.000000e+00,190,1.274049e-04,0,0,0
94,13,944,4.078262e-05,5.675619e-03,1.328430e-02,0.000000e+00,0.000000e+00,179,1.642741e-04,0,0,0
95,12,956,2.876855e-05,5.373260e-03,1.295109e-02,0.000000e+00,0.000000e+00,200,2.300590e-04,0,0,0
HIST {'total_samples': 77565, 'floor_samples': 2, 'floor_fraction': 2.5784825630116675e-05, 'saturation_depth': 1.1175870895385742e-07, 'boundaries': 96, 'capped_boundaries': 0, 'unfinished_worlds': 0}
96,12,968,8.413102e-05,5.453018e-03,1.294936e-02,0.000000e+00,0.000000e+00,182,6.311424e-04,0,0,0
