boundary,iters,cum_iters,ideal_min,ideal_mean,ideal_max,resid_min,resid_max
89,19,1118,6.798655e-07,5.361658e-03,1.626318e-02,0.000000e+00,0.000000e+00
90,15,1133,3.213529e-05,5.628803e-03,1.817041e-02,0.000000e+00,0.000000e+00
91,16,1149,1.054257e-05,5.420351e-03,1.492824e-02,0.000000e+00,0.000000e+00
92,18,1167,7.389579e-05,5.561584e-03,1.612547e-02,0.000000e+00,0.000000e+00
93,17,1184,9.844080e-06,5.383110e-03,1.447373e-02,0.000000e+00,0.000000e+00
94,23,1207,8.870848e-06,5.548927e-03,1.701761e-02,0.000000e+00,0.000000e+00
95,18,1225,2.719462e-06,5.338099e-03,1.789167e-02,0.000000e+00,0.000000e+00
HIST {'total_samples': 634139, 'floor_samples': 8, 'floor_fraction': 1.2615530664412691e-05, 'saturation_depth': 3.725290298461914e-08, 'boundaries': 96, 'capped_boundaries': 0, 'unfinished_worlds': 0}
96,18,1243,1.024920e-05,5.551282e-03,1.818883e-02,0.000000e+00,0.000000e+00
97,15,1258,3.213063e-07,5.347939e-03,1.494787e-02,0.000000e+00,0.000000e+00
98,24,1282,1.914799e-05,5.393263e-03,1.568813e-02,0.000000e+00,0.000000e+00
99,16,1298,7.781200e-06,5.245022e-03,1.305433e-02,0.000000e+00,0.000000e+00
100,16,1314,6.519258e-07,5.414674e-03,1.704020e-02,0.000000e+00,0.000000e+00
101,18,1332,2.545305e-05,5.265114e-03,1.537736e-02,0.000000e+00,0.000000e+00
102,20,1352,1.631677e-05,5.428461e-03,1.816159e-02,0.000000e+00,0.000000e+00
103,19,1371,1.797453e-06,5.294593e-03,1.817925e-02,0.000000e+00,0.000000e+00
104,17,1388,6.007031e-06,5.286974e-03,1.684535e-02,0.000000e+00,0.000000e+00
105,18,1406,2.110377e-05,5.166588e-03,1.441221e-02,0.000000e+00,0.000000e+00
106,38,1444,6.239861e-06,5.264692e-03,1.322925e-02,0.000000e+00,0.000000e+00
107,16,1460,2.132729e-06,5.114765e-03,1.449459e-02,0.000000e+00,0.000000e+00
108,18,1478,9.797513e-06,5.322234e-03,1.594405e-02,0.000000e+00,0.000000e+00
109,18,1496,2.388842e-06,5.289194e-03,1.624533e-02,0.000000e+00,0.000000e+00
110,16,1512,4.923902e-05,5.450846e-03,1.508684e-02,0.000000e+00,0.000000e+00
111,16,1528,3.822614e-05,5.248725e-03,1.599460e-02,0.000000e+00,0.000000e+00
112,16,1544,8.549541e-06,5.443425e-03,1.538163e-02,0.000000e+00,0.000000e+00
113,23,1567,1.844950e-05,5.291163e-03,1.646305e-02,0.000000e+00,0.000000e+00
114,17,1584,7.343479e-06,5.430734e-03,1.344137e-02,0.000000e+00,0.000000e+00
115,16,1600,5.019829e-06,5.314543e-03,1.440011e-02,0.000000e+00,0.000000e+00
116,20,1620,9.471551e-06,5.439900e-03,1.538741e-02,0.000000e+00,0.000000e+00
117,17,1637,2.925750e-05,5.315526e-03,1.403459e-02,0.000000e+00,0.000000e+00
118,26,1663,9.592623e-06,5.432069e-03,1.317690e-02,0.000000e+00,0.000000e+00
119,22,1685,7.776543e-06,5.287636e-03,1.383055e-02,0.000000e+00,0.000000e+00
120,18,1703,2.349727e-05,5.394050e-03,1.495501e-02,0.000000e+00,0.000000e+00
121,22,1725,1.583248e-07,5.260488e-03,1.409494e-02,0.000000e+00,0.000000e+00
122,16,1741,1.202337e-05,5.333894e-03,1.530670e-02,0.000000e+00,0.000000e+00
123,18,1759,1.339708e-05,5.240655e-03,1.536000e-02,0.000000e+00,0.000000e+00
124,14,1773,1.303852e-05,5.464416e-03,1.548598e-02,0.000000e+00,0.000000e+00
125,18,1791,1.318753e-05,5.262349e-03,1.483501e-02,0.000000e+00,0.000000e+00
126,21,1812,2.073124e-05,5.354523e-03,1.692506e-02,0.000000e+00,0.000000e+00
127,18,1830,6.910414e-06,5.227088e-03,1.474162e-02,0.000000e+00,0.000000e+00
128,15,1845,8.055940e-06,5.370583e-03,1.479242e-02,0.000000e+00,0.000000e+00
129,15,1860,1.322944e-05,5.237929e-03,1.631710e-02,0.000000e+00,0.000000e+00
130,18,1878,1.816079e-07,5.312186e-03,1.710263e-02,0.000000e+00,0.000000e+00
131,19,1897,5.476177e-06,5.204331e-03,1.279152e-02,0.000000e+00,0.000000e+00
132,16,1913,1.303852e-06,5.400492e-03,1.814398e-02,0.000000e+00,0.000000e+00
133,18,1931,1.224689e-05,5.241085e-03,1.360814e-02,0.000000e+00,0.000000e+00
134,18,1949,7.450581e-08,5.386162e-03,1.467533e-02,0.000000e+00,0.000000e+00
135,27,1976,4.982576e-06,5.298811e-03,1.501623e-02,0.000000e+00,0.000000e+00
136,18,1994,5.170237e-05,5.391992e-03,1.414242e-02,0.000000e+00,0.000000e+00
137,17,2011,1.587905e-06,5.197253e-03,1.547793e-02,0.000000e+00,0.000000e+00
