boundary,iters,cum_iters,ideal_min,ideal_mean,ideal_max,resid_min,resid_max
94,16,932,8.766747e-04,5.442999e-03,1.298488e-02,0.000000e+00,0.000000e+00
95,12,944,1.224846e-03,5.266261e-03,1.035815e-02,0.000000e+00,0.000000e+00
HIST {'total_samples': 73204, 'floor_samples': 0, 'floor_fraction': 0.0, 'saturation_depth': 0.0, 'boundaries': 96, 'capped_boundaries': 0, 'unfinished_worlds': 0}
96,17,961,6.085220e-04,5.288303e-03,1.105190e-02,0.000000e+00,0.000000e+00
97,13,974,1.302324e-03,5.229235e-03,1.098506e-02,0.000000e+00,0.000000e+00
98,17,991,8.049411e-04,5.314713e-03,1.156470e-02,0.000000e+00,0.000000e+00
99,14,1005,9.835932e-04,5.265306e-03,1.060520e-02,0.000000e+00,0.000000e+00
100,22,1027,4.728108e-04,5.440434e-03,1.412146e-02,0.000000e+00,0.000000e+00
101,15,1042,1.145167e-03,5.196966e-03,1.067980e-02,0.000000e+00,0.000000e+00
102,18,1060,6.291189e-04,5.384320e-03,1.816037e-02,0.000000e+00,0.000000e+00
103,15,1075,1.135678e-03,5.097549e-03,1.118785e-02,0.000000e+00,0.000000e+00
104,13,1088,1.010241e-03,5.387519e-03,1.401562e-02,0.000000e+00,0.000000e+00
105,15,1103,1.020969e-03,5.237287e-03,1.329696e-02,0.000000e+00,0.000000e+00
106,14,1117,1.047406e-03,5.249741e-03,1.664964e-02,0.000000e+00,0.000000e+00
107,11,1128,1.047406e-03,5.043238e-03,1.000000e-02,0.000000e+00,0.000000e+00
108,13,1141,1.112133e-03,5.323866e-03,1.000000e-02,0.000000e+00,0.000000e+00
109,10,1151,1.260702e-03,5.047603e-03,1.154249e-02,0.000000e+00,0.000000e+00
110,15,1166,1.268263e-03,5.198772e-03,1.334677e-02,0.000000e+00,0.000000e+00
111,13,1179,1.333243e-03,5.297452e-03,1.023599e-02,0.000000e+00,0.000000e+00
112,13,1192,1.107413e-03,5.504176e-03,1.210783e-02,0.000000e+00,0.000000e+00
113,11,1203,1.396150e-03,5.303123e-03,1.000000e-02,0.000000e+00,0.000000e+00
114,14,1217,8.954457e-04,5.271369e-03,1.322735e-02,0.000000e+00,0.000000e+00
115,17,1234,8.791516e-04,5.048094e-03,1.000000e-02,0.000000e+00,0.000000e+00
116,13,1247,9.830518e-04,5.301841e-03,1.110719e-02,0.000000e+00,0.000000e+00
117,15,1262,9.578801e-04,5.146569e-03,1.000000e-02,0.000000e+00,0.000000e+00
118,15,1277,6.036088e-04,5.289691e-03,1.163687e-02,0.000000e+00,0.000000e+00
