boundary,iters,cum_iters,ideal_min,ideal_mean,ideal_max,resid_min,resid_max,rejects,err_max,n_debt,n_subfloor,n_guard,eworld,qmax_i,qmax,ncon
1570,15,20576,8.516004e-04,5.272187e-03,1.307431e-02,0.000000e+00,0.000000e+00,219,3.568247e-05,0,0,0,255,18,1.210508e+03,66715
1571,12,20588,9.544456e-04,5.042833e-03,1.006070e-02,0.000000e+00,0.000000e+00,238,6.179598e-05,0,0,0,136,18,1.212043e+03,66856
1572,14,20602,6.722232e-04,5.228756e-03,1.150104e-02,0.000000e+00,0.000000e+00,203,8.572316e-05,0,0,0,135,18,1.213605e+03,66842
1573,11,20613,1.437764e-03,5.177435e-03,1.091939e-02,0.000000e+00,0.000000e+00,236,3.558607e-05,0,0,0,228,18,1.215142e+03,66827
1574,11,20624,1.730169e-03,5.178503e-03,1.108730e-02,0.000000e+00,0.000000e+00,214,2.625635e-04,0,0,0,212,18,1.216694e+03,66496
1575,14,20638,1.292277e-03,5.125752e-03,1.000000e-02,0.000000e+00,0.000000e+00,214,9.372644e-07,0,0,0,212,18,1.218239e+03,66732
1576,11,20649,1.035645e-03,5.213563e-03,1.086413e-02,0.000000e+00,0.000000e+00,215,3.548997e-05,0,0,0,212,18,1.219786e+03,66729
1577,9,20658,1.082188e-03,5.225945e-03,1.132842e-02,0.000000e+00,0.000000e+00,221,1.125893e-05,0,0,0,247,18,1.221319e+03,66867
1578,10,20668,1.373524e-03,5.316241e-03,1.199294e-02,0.000000e+00,0.000000e+00,221,2.483186e-04,0,0,0,240,18,1.222882e+03,66126
1579,9,20677,1.545053e-03,5.234186e-03,1.124921e-02,0.000000e+00,0.000000e+00,227,6.786243e-04,0,0,0,202,18,1.224410e+03,66365
1580,11,20688,1.271417e-03,5.345423e-03,1.502676e-02,0.000000e+00,0.000000e+00,209,2.245980e-04,0,0,0,185,18,1.225970e+03,65892
1581,18,20706,1.226316e-03,5.233096e-03,1.202986e-02,0.000000e+00,0.000000e+00,223,1.629452e-04,0,0,0,185,18,1.227522e+03,65813
1582,18,20724,8.761880e-04,5.337960e-03,1.089000e-02,0.000000e+00,0.000000e+00,206,4.987835e-06,0,0,0,103,18,1.229085e+03,65900
1583,15,20739,1.442231e-03,5.270191e-03,1.197900e-02,0.000000e+00,0.000000e+00,218,9.374963e-07,0,0,0,185,18,1.230629e+03,66211
1584,12,20751,1.015413e-03,5.431850e-03,1.089000e-02,0.000000e+00,0.000000e+00,194,5.221567e-04,0,0,0,90,18,1.232203e+03,65594
1585,13,20764,1.030728e-03,5.169580e-03,1.000000e-02,0.000000e+00,0.000000e+00,245,3.520413e-05,0,0,0,156,18,1.233750e+03,65442
1586,11,20775,1.133589e-03,5.334709e-03,1.317690e-02,0.000000e+00,0.000000e+00,204,3.704131e-04,0,0,0,156,18,1.235306e+03,65641
1587,12,20787,1.193786e-03,5.197008e-03,1.197900e-02,0.000000e+00,0.000000e+00,229,1.886343e-04,0,0,0,192,18,1.236858e+03,66095
1588,11,20798,9.085240e-04,5.272881e-03,1.127232e-02,0.000000e+00,0.000000e+00,216,3.838917e-04,0,0,0,118,18,1.238424e+03,65904
1589,16,20814,9.616440e-04,5.049970e-03,1.000000e-02,0.000000e+00,0.000000e+00,238,1.139213e-04,0,0,0,192,18,1.239976e+03,66149
1590,26,20840,6.979813e-04,5.229969e-03,1.089000e-02,0.000000e+00,0.000000e+00,203,6.673522e-06,0,0,0,90,18,1.241550e+03,65687
1591,14,20854,1.273812e-03,5.190170e-03,1.216521e-02,0.000000e+00,0.000000e+00,232,3.501517e-05,0,0,0,195,18,1.243106e+03,65270
1592,19,20873,1.038929e-03,5.177579e-03,1.061203e-02,0.000000e+00,0.000000e+00,220,1.184222e-05,0,0,0,83,18,1.244646e+03,65026
1593,13,20886,1.341822e-03,5.131077e-03,1.000000e-02,0.000000e+00,0.000000e+00,215,3.495259e-05,0,0,0,227,18,1.246227e+03,65345
1594,11,20897,1.258387e-03,5.395116e-03,1.089474e-02,0.000000e+00,0.000000e+00,205,1.372168e-04,0,0,0,251,18,1.247786e+03,65288
1595,12,20909,1.123305e-03,5.324245e-03,1.000000e-02,0.000000e+00,0.000000e+00,215,1.002515e-05,0,0,0,59,18,1.249353e+03,65398
1596,13,20922,1.516888e-03,5.450589e-03,1.089000e-02,0.000000e+00,0.000000e+00,202,9.487895e-05,0,0,0,140,18,1.250919e+03,65562
1597,14,20936,9.765641e-04,5.347119e-03,1.000000e-02,0.000000e+00,0.000000e+00,214,3.482772e-05,0,0,0,55,18,1.252487e+03,65569
1598,10,20946,1.461205e-03,5.444526e-03,1.251128e-02,0.000000e+00,0.000000e+00,231,7.571711e-04,0,0,0,92,18,1.254044e+03,65428
1599,11,20957,1.301033e-03,5.464639e-03,1.093253e-02,0.000000e+00,0.000000e+00,209,1.796262e-04,0,0,0,92,18,1.255613e+03,65306
1600,11,20968,9.845539e-04,5.489748e-03,1.296612e-02,0.000000e+00,0.000000e+00,216,5.695515e-04,0,0,0,212,18,1.257199e+03,65233
1601,10,20978,1.309623e-03,5.381076e-03,1.297086e-02,0.000000e+00,0.000000e+00,217,3.207735e-04,0,0,0,212,18,1.258770e+03,65052
1602,11,20989,1.549362e-03,5.417574e-03,1.089000e-02,0.000000e+00,0.000000e+00,205,7.744254e-04,0,0,0,212,18,1.260342e+03,64850
1603,11,21000,1.595743e-03,5.414936e-03,1.098689e-02,0.000000e+00,0.000000e+00,218,5.199922e-05,0,0,0,150,18,1.261933e+03,64988
1604,12,21012,1.022204e-03,5.444712e-03,1.277909e-02,0.000000e+00,0.000000e+00,208,4.002587e-04,0,0,0,107,18,1.263491e+03,64420
1605,12,21024,9.154079e-04,5.156182e-03,1.000000e-02,0.000000e+00,0.000000e+00,244,1.902498e-06,0,0,0,147,18,1.265078e+03,64531
