boundary,iters,cum_iters,ideal_min,ideal_mean,ideal_max,resid_min,resid_max,rejects,err_max,n_debt,n_subfloor,n_guard
74,12,665,1.005971e-03,5.801550e-03,1.122184e-02,0.000000e+00,0.000000e+00,139,7.152557e-06,0,0,0
75,13,678,9.862186e-04,5.593846e-03,1.065741e-02,0.000000e+00,0.000000e+00,152,2.664537e-05,0,0,0
76,15,693,1.080678e-03,5.765947e-03,1.091718e-02,0.000000e+00,0.000000e+00,126,6.404985e-04,0,0,0
77,12,705,9.026274e-04,5.634091e-03,1.303339e-02,0.000000e+00,0.000000e+00,142,2.581701e-04,0,0,0
78,14,719,8.063277e-04,5.690705e-03,1.255602e-02,0.000000e+00,0.000000e+00,139,4.100949e-04,0,0,0
79,16,735,1.102781e-03,5.504584e-03,1.009873e-02,0.000000e+00,0.000000e+00,172,2.457947e-05,0,0,0
80,16,751,8.735372e-04,5.569506e-03,1.083353e-02,0.000000e+00,0.000000e+00,142,3.686436e-04,0,0,0
81,13,764,7.544527e-04,5.424493e-03,1.128974e-02,0.000000e+00,0.000000e+00,148,6.599398e-04,0,0,0
82,11,775,1.107670e-03,5.526274e-03,1.000000e-02,0.000000e+00,0.000000e+00,142,2.941489e-05,0,0,0
83,12,787,1.212630e-03,5.362506e-03,9.931439e-03,0.000000e+00,0.000000e+00,159,5.076081e-05,0,0,0
84,27,814,7.645281e-04,5.521723e-03,1.156041e-02,0.000000e+00,0.000000e+00,151,5.427003e-05,0,0,0
85,11,825,1.196471e-03,5.382136e-03,1.000000e-02,0.000000e+00,0.000000e+00,149,7.152557e-07,0,0,0
86,11,836,1.314879e-03,5.680239e-03,1.115802e-02,0.000000e+00,0.000000e+00,140,3.048987e-04,0,0,0
87,13,849,1.450801e-03,5.589896e-03,1.130144e-02,0.000000e+00,0.000000e+00,147,2.024174e-04,0,0,0
88,12,861,8.909648e-04,5.490609e-03,1.054961e-02,0.000000e+00,0.000000e+00,171,3.572367e-04,0,0,0
89,12,873,1.068191e-03,5.393225e-03,1.193181e-02,0.000000e+00,0.000000e+00,165,2.107518e-04,0,0,0
90,16,889,1.121626e-03,5.352540e-03,1.149759e-02,0.000000e+00,0.000000e+00,158,2.333522e-05,0,0,0
91,14,903,1.064441e-03,5.360431e-03,1.360827e-02,0.000000e+00,0.000000e+00,164,3.239512e-05,0,0,0
92,16,919,9.058352e-04,5.371856e-03,1.280024e-02,0.000000e+00,0.000000e+00,157,3.141612e-04,0,0,0
93,13,932,9.058352e-04,5.342636e-03,1.000000e-02,0.000000e+00,0.000000e+00,143,7.688999e-06,0,0,0
94,16,948,1.137787e-03,5.527901e-03,1.089000e-02,0.000000e+00,0.000000e+00,139,5.662441e-07,0,0,0
95,21,969,1.145738e-03,5.398247e-03,1.038618e-02,0.000000e+00,0.000000e+00,178,5.603433e-04,0,0,0
HIST {'total_samples': 72623, 'floor_samples': 0, 'floor_fraction': 0.0, 'saturation_depth': 0.0, 'boundaries': 96, 'capped_boundaries': 0, 'unfinished_worlds': 0}
96,13,982,1.007823e-03,5.446165e-03,1.237181e-02,0.000000e+00,0.000000e+00,153,3.504157e-04,0,0,0
97,12,994,9.587835e-04,5.317151e-03,1.133802e-02,0.000000e+00,0.000000e+00,178,4.580617e-05,0,0,0
98,17,1011,8.220757e-04,5.299675e-03,1.354068e-02,0.000000e+00,0.000000e+00,154,2.557784e-05,0,0,0
99,16,1027,1.021877e-03,5.226154e-03,1.028984e-02,0.000000e+00,0.000000e+00,162,6.154925e-05,0,0,0
100,12,1039,1.140302e-03,5.336734e-03,1.169562e-02,0.000000e+00,0.000000e+00,156,1.346469e-04,0,0,0
101,14,1053,1.110680e-03,5.088693e-03,1.000000e-02,0.000000e+00,0.000000e+00,176,5.085859e-05,0,0,0
102,12,1065,8.380607e-04,5.185585e-03,1.232634e-02,0.000000e+00,0.000000e+00,156,1.110137e-06,0,0,0
103,13,1078,9.374791e-04,5.131465e-03,1.000000e-02,0.000000e+00,0.000000e+00,180,2.086163e-07,0,0,0
104,14,1092,1.007469e-03,5.182403e-03,1.236929e-02,0.000000e+00,0.000000e+00,167,6.848574e-05,0,0,0
105,14,1106,1.169034e-03,4.994303e-03,1.000000e-02,0.000000e+00,0.000000e+00,175,5.616248e-05,0,0,0
106,12,1118,1.409027e-03,5.163093e-03,1.116994e-02,0.000000e+00,0.000000e+00,156,2.920628e-06,0,0,0
107,12,1130,1.121661e-03,5.099794e-03,1.214859e-02,0.000000e+00,0.000000e+00,169,3.357611e-04,0,0,0
108,15,1145,1.063398e-03,5.239150e-03,1.336345e-02,0.000000e+00,0.000000e+00,175,2.468824e-04,0,0,0
109,13,1158,8.582646e-04,5.029615e-03,1.469980e-02,0.000000e+00,0.000000e+00,175,1.100004e-04,0,0,0
110,12,1170,1.049171e-03,5.284395e-03,1.093640e-02,0.000000e+00,0.000000e+00,148,5.546957e-06,0,0,0
111,12,1182,1.170323e-03,5.263067e-03,1.072583e-02,0.000000e+00,0.000000e+00,163,1.275837e-04,0,0,0
112,16,1198,1.080535e-03,5.343863e-03,1.687887e-02,0.000000e+00,0.000000e+00,156,2.004206e-04,0,0,0
113,25,1223,4.129768e-04,5.229909e-03,1.321638e-02,0.000000e+00,0.000000e+00,172,2.311468e-04,0,0,0
114,20,1243,5.921753e-04,5.382709e-03,1.110150e-02,0.000000e+00,0.000000e+00,137,1.126528e-05,0,0,0
115,19,1262,9.645556e-04,5.305280e-03,1.097998e-02,0.000000e+00,0.000000e+00,167,3.215973e-09,0,0,0
116,17,1279,8.381354e-04,5.307486e-03,1.192057e-02,0.000000e+00,0.000000e+00,166,3.384911e-04,0,0,0
117,13,1292,1.085893e-03,5.297735e-03,1.272289e-02,0.000000e+00,0.000000e+00,154,3.773272e-04,0,0,0
118,20,1312,1.020367e-03,5.312428e-03,1.244241e-02,0.000000e+00,0.000000e+00,161,4.053116e-06,0,0,0
119,9,1321,1.312676e-03,5.279089e-03,1.055635e-02,0.000000e+00,0.000000e+00,169,6.490052e-04,0,0,0
120,12,1333,1.232090e-03,5.293599e-03,1.140699e-02,0.000000e+00,0.000000e+00,165,3.687944e-05,0,0,0
121,13,1346,1.106483e-03,5.192953e-03,1.184711e-02,0.000000e+00,0.000000e+00,169,7.677972e-04,0,0,0
122,12,1358,7.940755e-04,5.161665e-03,1.317690e-02,0.000000e+00,0.000000e+00,180,4.807785e-04,0,0,0
123,16,1374,1.059910e-03,4.951032e-03,1.214710e-02,0.000000e+00,0.000000e+00,196,1.388788e-05,0,0,0
124,16,1390,9.106834e-04,5.116829e-03,1.090698e-02,0.000000e+00,0.000000e+00,164,5.409867e-05,0,0,0
125,13,1403,1.044196e-03,5.142177e-03,1.044882e-02,0.000000e+00,0.000000e+00,165,5.338341e-04,0,0,0
126,13,1416,1.309572e-03,5.273545e-03,1.203414e-02,0.000000e+00,0.000000e+00,166,4.296377e-05,0,0,0
127,19,1435,1.071238e-03,5.328654e-03,1.093009e-02,0.000000e+00,0.000000e+00,158,8.344650e-07,0,0,0
128,11,1446,1.320918e-03,5.469228e-03,1.279635e-02,0.000000e+00,0.000000e+00,172,2.096593e-05,0,0,0
129,11,1457,1.032036e-03,5.303597e-03,1.221292e-02,0.000000e+00,0.000000e+00,167,1.684343e-05,0,0,0
130,15,1472,8.502232e-04,5.179282e-03,1.187106e-02,0.000000e+00,0.000000e+00,191,9.962171e-05,0,0,0
131,14,1486,9.274551e-04,5.159762e-03,1.007015e-02,0.000000e+00,0.000000e+00,178,2.816319e-04,0,0,0
132,13,1499,1.141465e-03,5.347629e-03,1.145358e-02,0.000000e+00,0.000000e+00,161,6.996095e-04,0,0,0
133,16,1515,7.850736e-04,5.261253e-03,1.004286e-02,0.000000e+00,0.000000e+00,178,5.536526e-05,0,0,0
134,15,1530,1.031307e-03,5.441686e-03,1.161028e-02,0.000000e+00,0.000000e+00,171,4.543341e-05,0,0,0
135,12,1542,1.133111e-03,5.164049e-03,1.014495e-02,0.000000e+00,0.000000e+00,204,3.894418e-05,0,0,0
136,13,1555,9.721543e-04,5.361180e-03,1.126765e-02,0.000000e+00,0.000000e+00,146,1.108646e-05,0,0,0
137,12,1567,1.169215e-03,5.280666e-03,1.000000e-02,0.000000e+00,0.000000e+00,176,7.847324e-06,0,0,0
138,11,1578,1.388691e-03,5.345084e-03,1.350293e-02,0.000000e+00,0.000000e+00,172,1.857542e-04,0,0,0
139,13,1591,8.978075e-04,5.253067e-03,1.178764e-02,0.000000e+00,0.000000e+00,158,2.660342e-04,0,0,0
140,14,1605,8.889466e-04,5.235495e-03,1.041570e-02,0.000000e+00,0.000000e+00,184,3.925003e-04,0,0,0
141,15,1620,1.130120e-03,5.123000e-03,1.145727e-02,0.000000e+00,0.000000e+00,182,1.316052e-04,0,0,0
142,11,1631,1.272167e-03,5.341657e-03,1.144189e-02,0.000000e+00,0.000000e+00,167,2.277344e-04,0,0,0
143,14,1645,1.412226e-03,5.239598e-03,1.038868e-02,0.000000e+00,0.000000e+00,172,1.204014e-05,0,0,0
HIST {'total_samples': 120461, 'floor_samples': 0, 'floor_fraction': 0.0, 'saturation_depth': 0.0, 'boundaries': 144, 'capped_boundaries': 0, 'unfinished_worlds': 0}
144,10,1655,1.136410e-03,5.375075e-03,1.266346e-02,0.000000e+00,0.000000e+00,168,4.270077e-04,0,0,0
145,14,1669,1.113261e-03,5.083149e-03,1.137946e-02,0.000000e+00,0.000000e+00,213,4.130974e-05,0,0,0
146,14,1683,7.979476e-04,5.179057e-03,1.240605e-02,0.000000e+00,0.000000e+00,167,2.533197e-07,0,0,0
147,15,1698,8.878781e-04,5.135152e-03,1.000000e-02,0.000000e+00,0.000000e+00,172,6.415695e-04,0,0,0
148,13,1711,1.108818e-03,5.239226e-03,1.058512e-02,0.000000e+00,0.000000e+00,165,4.546493e-04,0,0,0
149,14,1725,8.995833e-04,5.097763e-03,1.113066e-02,0.000000e+00,0.000000e+00,183,4.939688e-04,0,0,0
150,12,1737,1.185210e-03,5.179166e-03,1.000000e-02,0.000000e+00,0.000000e+00,182,7.863343e-05,0,0,0
151,11,1748,9.292524e-04,5.157011e-03,1.051704e-02,0.000000e+00,0.000000e+00,164,1.204014e-05,0,0,0
152,21,1769,8.512218e-04,5.304359e-03,1.081662e-02,0.000000e+00,0.000000e+00,163,1.586974e-05,0,0,0
153,17,1786,8.011380e-04,5.196705e-03,1.268721e-02,0.000000e+00,0.000000e+00,184,5.635247e-04,0,0,0
154,14,1800,8.175071e-04,5.234304e-03,1.107199e-02,0.000000e+00,0.000000e+00,175,6.444901e-04,0,0,0
155,23,1823,4.155645e-04,5.028990e-03,1.000000e-02,0.000000e+00,0.000000e+00,194,6.347895e-06,0,0,0
156,13,1836,1.010933e-03,5.184087e-03,1.225443e-02,0.000000e+00,0.000000e+00,153,2.026558e-06,0,0,0
157,15,1851,9.850390e-04,5.088416e-03,1.059935e-02,0.000000e+00,0.000000e+00,193,5.672872e-05,0,0,0
158,15,1866,1.035410e-03,5.195886e-03,1.482787e-02,0.000000e+00,0.000000e+00,170,1.680702e-04,0,0,0
159,15,1881,1.026690e-03,5.093740e-03,1.193731e-02,0.000000e+00,0.000000e+00,172,5.197525e-05,0,0,0
160,12,1893,1.213669e-03,5.152189e-03,1.017532e-02,0.000000e+00,0.000000e+00,163,4.020408e-04,0,0,0
161,9,1902,1.667231e-03,5.092728e-03,1.000000e-02,0.000000e+00,0.000000e+00,172,1.874268e-04,0,0,0
162,13,1915,1.258282e-03,5.098133e-03,1.000000e-02,0.000000e+00,0.000000e+00,168,4.064739e-04,0,0,0
163,11,1926,1.452785e-03,5.014746e-03,9.309745e-03,0.000000e+00,0.000000e+00,173,1.409054e-04,0,0,0
164,28,1954,5.744054e-04,5.199520e-03,1.201602e-02,0.000000e+00,0.000000e+00,158,2.584457e-04,0,0,0
165,20,1974,7.855085e-04,5.047407e-03,1.173642e-02,0.000000e+00,0.000000e+00,192,1.158863e-04,0,0,0
166,16,1990,1.086855e-03,5.130574e-03,1.000000e-02,0.000000e+00,0.000000e+00,157,4.068017e-05,0,0,0
167,12,2002,1.213009e-03,5.129463e-03,1.030937e-02,0.000000e+00,0.000000e+00,183,1.109838e-04,0,0,0
168,13,2015,1.016512e-03,5.329460e-03,1.062673e-02,0.000000e+00,0.000000e+00,161,2.574325e-04,0,0,0
169,12,2027,7.487949e-04,5.152605e-03,9.724065e-03,0.000000e+00,0.000000e+00,206,3.360608e-05,0,0,0
170,12,2039,1.384638e-03,5.114668e-03,1.112554e-02,0.000000e+00,0.000000e+00,188,1.121312e-05,0,0,0
