boundary,iters,cum_iters,ideal_min,ideal_mean,ideal_max,resid_min,resid_max,rejects,err_max,n_debt,n_subfloor,n_guard
83,21,984,7.884858e-04,5.389696e-03,1.758222e-02,0.000000e+00,0.000000e+00,1260,1.730919e-04,0,0,0
84,21,1005,6.233281e-04,5.500516e-03,1.817041e-02,0.000000e+00,0.000000e+00,1216,3.512199e-04,0,0,0
85,19,1024,7.910817e-04,5.297551e-03,1.608877e-02,0.000000e+00,0.000000e+00,1383,4.271194e-04,0,0,0
86,19,1043,7.690744e-04,5.406370e-03,1.458260e-02,0.000000e+00,0.000000e+00,1264,1.203790e-04,0,0,0
87,21,1064,7.545722e-04,5.237432e-03,1.415010e-02,0.000000e+00,0.000000e+00,1387,3.661215e-05,0,0,0
88,20,1084,6.239367e-04,5.305471e-03,1.734993e-02,0.000000e+00,0.000000e+00,1294,5.389750e-05,0,0,0
89,23,1107,4.991447e-04,5.180500e-03,1.484871e-02,0.000000e+00,0.000000e+00,1433,2.509356e-04,0,0,0
90,20,1127,6.825364e-04,5.307900e-03,1.518391e-02,0.000000e+00,0.000000e+00,1253,1.239777e-05,0,0,0
91,18,1145,6.604876e-04,5.166578e-03,1.252563e-02,0.000000e+00,0.000000e+00,1414,8.916855e-05,0,0,0
92,17,1162,7.921235e-04,5.303238e-03,1.412468e-02,0.000000e+00,0.000000e+00,1249,3.637979e-11,0,0,0
93,21,1183,6.835616e-04,5.167399e-03,1.323695e-02,0.000000e+00,0.000000e+00,1342,4.810840e-05,0,0,0
94,15,1198,7.452507e-04,5.311145e-03,1.436672e-02,0.000000e+00,0.000000e+00,1262,6.639212e-05,0,0,0
95,14,1212,8.875481e-04,5.184117e-03,1.174642e-02,0.000000e+00,0.000000e+00,1403,5.648434e-04,0,0,0
HIST {'total_samples': 592569, 'floor_samples': 0, 'floor_fraction': 0.0, 'saturation_depth': 0.0, 'boundaries': 96, 'capped_boundaries': 0, 'unfinished_worlds': 0}
96,15,1227,8.418186e-04,5.304206e-03,1.508399e-02,0.000000e+00,0.000000e+00,1228,2.738684e-04,0,0,0
97,16,1243,1.008949e-03,5.207316e-03,1.549510e-02,0.000000e+00,0.000000e+00,1309,6.707199e-04,0,0,0
98,19,1262,7.080747e-04,5.363256e-03,1.567667e-02,0.000000e+00,0.000000e+00,1232,4.617050e-04,0,0,0
99,21,1283,6.560066e-04,5.215535e-03,1.232504e-02,0.000000e+00,0.000000e+00,1410,2.955757e-04,0,0,0
100,19,1302,6.913226e-04,5.249741e-03,1.252690e-02,0.000000e+00,0.000000e+00,1338,9.613857e-05,0,0,0
101,17,1319,6.448210e-04,5.129974e-03,1.150510e-02,0.000000e+00,0.000000e+00,1386,1.970381e-04,0,0,0
102,18,1337,8.747880e-04,5.298707e-03,1.213302e-02,0.000000e+00,0.000000e+00,1270,1.031547e-04,0,0,0
103,16,1353,8.477063e-04,5.200398e-03,1.232159e-02,0.000000e+00,0.000000e+00,1390,2.557784e-05,0,0,0
104,19,1372,5.759956e-04,5.265176e-03,1.594405e-02,0.000000e+00,0.000000e+00,1362,2.463162e-05,0,0,0
105,16,1388,8.250063e-04,5.131059e-03,1.437218e-02,0.000000e+00,0.000000e+00,1450,1.635449e-04,0,0,0
106,18,1406,7.298479e-04,5.218791e-03,1.594405e-02,0.000000e+00,0.000000e+00,1335,2.682582e-04,0,0,0
107,20,1426,6.540570e-04,5.108244e-03,1.312227e-02,0.000000e+00,0.000000e+00,1439,5.341602e-20,0,0,0
108,20,1446,6.226784e-04,5.275176e-03,1.569303e-02,0.000000e+00,0.000000e+00,1239,2.815723e-04,0,0,0
109,22,1468,5.679703e-04,5.177150e-03,1.808167e-02,0.000000e+00,0.000000e+00,1408,4.591048e-05,0,0,0
110,16,1484,9.422856e-04,5.256734e-03,1.514986e-02,0.000000e+00,0.000000e+00,1328,2.018213e-04,0,0,0
111,21,1505,7.248600e-04,5.110980e-03,1.325051e-02,0.000000e+00,0.000000e+00,1504,2.650991e-04,0,0,0
112,22,1527,8.067778e-04,5.241054e-03,1.386639e-02,0.000000e+00,0.000000e+00,1311,3.766119e-04,0,0,0
113,19,1546,7.930285e-04,5.133507e-03,1.493253e-02,0.000000e+00,0.000000e+00,1439,3.059208e-05,0,0,0
114,16,1562,7.640470e-04,5.261769e-03,1.449459e-02,0.000000e+00,0.000000e+00,1327,5.824566e-04,0,0,0
115,15,1577,7.725522e-04,5.138577e-03,1.237632e-02,0.000000e+00,0.000000e+00,1484,4.272461e-04,0,0,0
116,14,1591,9.911939e-04,5.226232e-03,1.400670e-02,0.000000e+00,0.000000e+00,1350,1.019686e-04,0,0,0
117,21,1612,8.062607e-04,5.172784e-03,1.540737e-02,0.000000e+00,0.000000e+00,1393,2.240203e-05,0,0,0
118,18,1630,7.955057e-04,5.296032e-03,1.683305e-02,0.000000e+00,0.000000e+00,1341,4.349649e-05,0,0,0
119,14,1644,7.042813e-04,5.169668e-03,1.772799e-02,0.000000e+00,0.000000e+00,1435,4.054308e-04,0,0,0
120,28,1672,6.312467e-04,5.262705e-03,1.582013e-02,0.000000e+00,0.000000e+00,1383,4.915297e-04,0,0,0
121,19,1691,7.654753e-04,5.148282e-03,1.311064e-02,0.000000e+00,0.000000e+00,1489,4.440546e-06,0,0,0
122,17,1708,8.036759e-04,5.252060e-03,1.572775e-02,0.000000e+00,0.000000e+00,1311,1.132339e-04,0,0,0
123,22,1730,7.413427e-04,5.156770e-03,1.390592e-02,0.000000e+00,0.000000e+00,1482,4.768372e-06,0,0,0
124,20,1750,8.342784e-04,5.281406e-03,1.441937e-02,0.000000e+00,0.000000e+00,1350,2.939254e-04,0,0,0
125,15,1765,8.006142e-04,5.164359e-03,1.471972e-02,0.000000e+00,0.000000e+00,1480,1.768550e-04,0,0,0
126,16,1781,8.798403e-04,5.251797e-03,1.485049e-02,0.000000e+00,0.000000e+00,1340,3.463030e-05,0,0,0
127,16,1797,7.064541e-04,5.135323e-03,1.418900e-02,0.000000e+00,0.000000e+00,1514,3.585070e-04,0,0,0
128,15,1812,7.109907e-04,5.254385e-03,1.235268e-02,0.000000e+00,0.000000e+00,1350,6.645918e-06,0,0,0
129,19,1831,8.724704e-04,5.137618e-03,1.100093e-02,0.000000e+00,0.000000e+00,1478,1.673177e-04,0,0,0
130,13,1844,8.320495e-04,5.241615e-03,1.550057e-02,0.000000e+00,0.000000e+00,1339,4.222952e-04,0,0,0
131,23,1867,8.370728e-04,5.126367e-03,1.317690e-02,0.000000e+00,0.000000e+00,1468,2.038479e-05,0,0,0
132,15,1882,7.747497e-04,5.270822e-03,1.439176e-02,0.000000e+00,0.000000e+00,1385,8.419156e-06,0,0,0
133,16,1898,8.201216e-04,5.192051e-03,1.237650e-02,0.000000e+00,0.000000e+00,1455,1.103133e-04,0,0,0
134,23,1921,7.201717e-04,5.278597e-03,1.432447e-02,0.000000e+00,0.000000e+00,1382,3.102124e-04,0,0,0
135,17,1938,7.623497e-04,5.212523e-03,1.344655e-02,0.000000e+00,0.000000e+00,1420,2.060831e-05,0,0,0
136,20,1958,5.447291e-04,5.217708e-03,1.317690e-02,0.000000e+00,0.000000e+00,1453,3.651381e-04,0,0,0
137,20,1978,8.632325e-04,5.144660e-03,1.220035e-02,0.000000e+00,0.000000e+00,1486,7.010251e-05,0,0,0
138,18,1996,7.559299e-04,5.208996e-03,1.331529e-02,0.000000e+00,0.000000e+00,1427,8.359551e-06,0,0,0
139,16,2012,8.958256e-04,5.124447e-03,1.221258e-02,0.000000e+00,0.000000e+00,1507,5.004108e-04,0,0,0
140,19,2031,7.959234e-04,5.182905e-03,1.420213e-02,0.000000e+00,0.000000e+00,1399,2.367795e-04,0,0,0
141,17,2048,7.962791e-04,5.081056e-03,1.341713e-02,0.000000e+00,0.000000e+00,1481,7.721782e-05,0,0,0
142,19,2067,6.677590e-04,5.229013e-03,1.704768e-02,0.000000e+00,0.000000e+00,1392,2.563000e-06,0,0,0
143,17,2084,5.620128e-04,5.156925e-03,1.231981e-02,0.000000e+00,0.000000e+00,1456,2.224166e-04,0,0,0
HIST {'total_samples': 984925, 'floor_samples': 0, 'floor_fraction': 0.0, 'saturation_depth': 0.0, 'boundaries': 144, 'capped_boundaries': 0, 'unfinished_worlds': 0}
144,16,2100,8.439520e-04,5.234725e-03,1.465473e-02,0.000000e+00,0.000000e+00,1408,7.830411e-04,0,0,0
145,19,2119,7.391832e-04,5.140303e-03,1.250016e-02,0.000000e+00,0.000000e+00,1536,4.510880e-04,0,0,0
146,17,2136,8.782200e-04,5.254030e-03,1.735089e-02,0.000000e+00,0.000000e+00,1389,3.934652e-04,0,0,0
147,15,2151,8.630403e-04,5.175374e-03,1.288801e-02,0.000000e+00,0.000000e+00,1463,3.189743e-04,0,0,0
148,15,2166,8.032108e-04,5.255066e-03,1.418275e-02,0.000000e+00,0.000000e+00,1428,4.737079e-05,0,0,0
149,20,2186,8.703484e-04,5.133067e-03,1.397427e-02,0.000000e+00,0.000000e+00,1542,2.397597e-05,0,0,0
150,15,2201,8.136340e-04,5.191079e-03,1.221136e-02,0.000000e+00,0.000000e+00,1419,6.816946e-04,0,0,0
151,14,2215,9.473130e-04,5.099175e-03,1.231635e-02,0.000000e+00,0.000000e+00,1530,4.619360e-06,0,0,0
152,16,2231,8.824807e-04,5.227885e-03,1.642708e-02,0.000000e+00,0.000000e+00,1481,4.827976e-05,0,0,0
153,22,2253,7.000174e-04,5.139744e-03,1.197900e-02,0.000000e+00,0.000000e+00,1539,7.131696e-05,0,0,0
154,16,2269,8.115260e-04,5.246418e-03,1.396738e-02,0.000000e+00,0.000000e+00,1434,1.465529e-04,0,0,0
155,17,2286,9.576165e-04,5.115821e-03,1.262274e-02,0.000000e+00,0.000000e+00,1568,8.076429e-05,0,0,0
156,22,2308,6.438949e-04,5.177150e-03,1.317690e-02,0.000000e+00,0.000000e+00,1449,2.992302e-04,0,0,0
157,21,2329,5.051101e-04,5.073586e-03,1.286370e-02,0.000000e+00,0.000000e+00,1575,5.619675e-04,0,0,0
158,32,2361,4.343592e-04,5.207243e-03,1.584540e-02,0.000000e+00,0.000000e+00,1447,1.119077e-05,0,0,0
159,18,2379,7.151733e-04,5.130756e-03,1.449459e-02,0.000000e+00,0.000000e+00,1501,2.026558e-06,0,0,0
160,16,2395,5.951768e-04,5.233990e-03,1.274663e-02,0.000000e+00,0.000000e+00,1418,5.424023e-06,0,0,0
161,15,2410,8.063426e-04,5.178533e-03,1.269544e-02,0.000000e+00,0.000000e+00,1460,5.286420e-05,0,0,0
162,19,2429,6.912830e-04,5.282952e-03,1.303136e-02,0.000000e+00,0.000000e+00,1450,2.437830e-05,0,0,0
163,17,2446,8.532217e-04,5.127193e-03,1.331427e-02,0.000000e+00,0.000000e+00,1553,1.584738e-05,0,0,0
164,22,2468,8.431693e-04,5.223757e-03,1.317690e-02,0.000000e+00,0.000000e+00,1400,4.260391e-04,0,0,0
165,22,2490,8.224474e-04,5.166709e-03,1.381149e-02,0.000000e+00,0.000000e+00,1525,2.778545e-04,0,0,0
166,20,2510,8.093564e-04,5.242100e-03,1.382605e-02,0.000000e+00,0.000000e+00,1412,1.236796e-04,0,0,0
167,18,2528,9.904535e-04,5.126829e-03,1.400701e-02,0.000000e+00,0.000000e+00,1548,7.510185e-06,0,0,0
168,15,2543,7.073304e-04,5.237225e-03,1.581112e-02,0.000000e+00,0.000000e+00,1454,1.693293e-04,0,0,0
169,14,2557,7.921325e-04,5.167603e-03,1.433303e-02,0.000000e+00,0.000000e+00,1539,4.605018e-05,0,0,0
170,17,2574,7.748936e-04,5.293452e-03,1.504967e-02,0.000000e+00,0.000000e+00,1415,4.721284e-04,0,0,0
171,17,2591,8.414904e-04,5.155175e-03,1.449459e-02,0.000000e+00,0.000000e+00,1567,2.163500e-04,0,0,0
172,20,2611,8.378928e-04,5.242451e-03,1.814398e-02,0.000000e+00,0.000000e+00,1502,2.568662e-04,0,0,0
173,15,2626,8.189321e-04,5.143303e-03,1.738172e-02,0.000000e+00,0.000000e+00,1539,1.105145e-04,0,0,0
174,17,2643,7.563740e-04,5.245620e-03,1.229598e-02,0.000000e+00,0.000000e+00,1409,2.197921e-04,0,0,0
175,19,2662,8.085442e-04,5.166227e-03,1.248641e-02,0.000000e+00,0.000000e+00,1521,1.614541e-05,0,0,0
176,15,2677,8.881029e-04,5.190164e-03,1.272819e-02,0.000000e+00,0.000000e+00,1520,9.798259e-05,0,0,0
177,15,2692,9.907623e-04,5.106413e-03,1.326626e-02,0.000000e+00,0.000000e+00,1584,2.323538e-04,0,0,0
178,19,2711,8.925909e-04,5.226220e-03,1.544334e-02,0.000000e+00,0.000000e+00,1470,4.210472e-04,0,0,0
179,21,2732,9.271491e-04,5.088205e-03,1.430924e-02,0.000000e+00,0.000000e+00,1602,1.542270e-06,0,0,0
180,15,2747,8.680315e-04,5.188480e-03,1.320784e-02,0.000000e+00,0.000000e+00,1433,1.728535e-04,0,0,0
181,16,2763,7.863806e-04,5.100185e-03,1.211309e-02,0.000000e+00,0.000000e+00,1569,1.064036e-04,0,0,0
182,15,2778,9.456031e-04,5.176066e-03,1.311812e-02,0.000000e+00,0.000000e+00,1479,5.258620e-04,0,0,0
183,20,2798,5.752357e-04,5.094986e-03,1.174863e-02,0.000000e+00,0.000000e+00,1545,5.175918e-04,0,0,0
184,22,2820,7.027716e-04,5.220158e-03,1.381072e-02,0.000000e+00,0.000000e+00,1451,6.107334e-04,0,0,0
185,18,2838,8.202486e-04,5.155742e-03,1.402141e-02,0.000000e+00,0.000000e+00,1516,5.455613e-04,0,0,0
186,17,2855,8.658576e-04,5.191696e-03,1.551979e-02,0.000000e+00,0.000000e+00,1517,5.891770e-04,0,0,0
187,17,2872,8.138917e-04,5.095200e-03,1.197900e-02,0.000000e+00,0.000000e+00,1581,3.526360e-04,0,0,0
188,16,2888,7.704735e-04,5.181807e-03,1.617760e-02,0.000000e+00,0.000000e+00,1532,1.636334e-04,0,0,0
189,18,2906,1.013606e-03,5.097711e-03,1.814014e-02,0.000000e+00,0.000000e+00,1556,2.744049e-04,0,0,0
190,21,2927,7.812902e-04,5.165713e-03,1.413352e-02,0.000000e+00,0.000000e+00,1482,4.837513e-04,0,0,0
191,21,2948,6.245535e-04,5.101164e-03,1.244814e-02,0.000000e+00,0.000000e+00,1548,1.237094e-04,0,0,0
HIST {'total_samples': 1391718, 'floor_samples': 0, 'floor_fraction': 0.0, 'saturation_depth': 0.0, 'boundaries': 192, 'capped_boundaries': 0, 'unfinished_worlds': 0}
192,21,2969,5.446773e-04,5.164349e-03,1.369295e-02,0.000000e+00,0.000000e+00,1526,2.056360e-06,0,0,0
193,19,2988,6.175443e-04,5.098228e-03,1.215536e-02,0.000000e+00,0.000000e+00,1567,2.996624e-04,0,0,0
194,21,3009,5.461299e-04,5.145223e-03,1.485031e-02,0.000000e+00,0.000000e+00,1522,4.188083e-04,0,0,0
195,21,3030,5.855047e-04,5.043330e-03,1.269152e-02,0.000000e+00,0.000000e+00,1622,6.346405e-05,0,0,0
196,17,3047,8.697083e-04,5.108698e-03,1.213506e-02,0.000000e+00,0.000000e+00,1483,5.225241e-04,0,0,0
197,22,3069,6.955285e-04,5.007941e-03,1.467176e-02,0.000000e+00,0.000000e+00,1604,2.667755e-04,0,0,0
198,17,3086,6.286481e-04,5.115690e-03,1.317690e-02,0.000000e+00,0.000000e+00,1492,5.144319e-04,0,0,0
199,17,3103,8.288076e-04,5.058690e-03,1.164987e-02,0.000000e+00,0.000000e+00,1562,3.636032e-04,0,0,0
200,20,3123,6.291882e-04,5.177796e-03,1.291062e-02,0.000000e+00,0.000000e+00,1481,3.469735e-04,0,0,0
201,19,3142,6.477398e-04,5.170075e-03,1.201541e-02,0.000000e+00,0.000000e+00,1493,6.825924e-04,0,0,0
202,17,3159,6.074699e-04,5.284910e-03,1.441593e-02,0.000000e+00,0.000000e+00,1427,9.294599e-07,0,0,0
203,22,3181,5.718292e-04,5.136237e-03,1.317690e-02,0.000000e+00,0.000000e+00,1596,5.353838e-04,0,0,0
204,19,3200,6.956609e-04,5.172845e-03,1.388379e-02,0.000000e+00,0.000000e+00,1525,4.136115e-04,0,0,0
205,16,3216,1.035328e-03,5.130557e-03,1.130588e-02,0.000000e+00,0.000000e+00,1559,7.041991e-04,0,0,0
206,16,3232,7.207053e-04,5.189447e-03,1.629174e-02,0.000000e+00,0.000000e+00,1505,3.328472e-04,0,0,0
207,17,3249,8.126517e-04,5.122708e-03,1.369283e-02,0.000000e+00,0.000000e+00,1584,4.561841e-04,0,0,0
208,20,3269,6.214033e-04,5.226254e-03,1.344455e-02,0.000000e+00,0.000000e+00,1474,1.120567e-05,0,0,0
209,16,3285,9.246655e-04,5.105055e-03,1.122362e-02,0.000000e+00,0.000000e+00,1639,3.809556e-04,0,0,0
210,17,3302,9.915595e-04,5.220701e-03,1.190797e-02,0.000000e+00,0.000000e+00,1502,1.758486e-04,0,0,0
211,24,3326,7.514014e-04,5.145228e-03,1.309877e-02,0.000000e+00,0.000000e+00,1584,1.344122e-04,0,0,0
